0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
202.03827,202.07009,202.05086,202.0669,202.10801,202.02535,202.06299,202.0289,202.01186,202.03843,202.01784,202.02095,202.04405,201.98647,202.06246,202.04106,202.02637,202.01779,202.00927,202.02555,202.01117,201.98174,201.97755,
202.07998,202.05518,202.04685,202.08717,202.0582,202.06139,202.03575,202.01248,202.02009,202.0299,202.00549,202.01527,202.04361,201.99631,202.03301,202.02371,202.02254,202.01988,202.00735,202.03887,202.01266,201.96656,201.99196,
202.08129,202.09884,202.00938,202.0691,202.03594,202.05432,202.02455,202.00151,202.01027,202.03245,201.9992,202.03075,202.03371,202.00272,202.0006,202.04573,201.9782,202.0514,202.00622,202.01021,201.99879,202.0203,201.9725,
202.0695,202.05988,202.03478,201.99097,202.07529,202.04035,201.98914,202.03891,202.00485,202.03104,202.01283,202.00227,202.02198,201.97754,202.04468,202.02247,201.99117,202.04025,201.97237,202.00503,202.00922,202.01634,202.00943,
202.08094,202.03089,202.02472,202.00005,202.0361,202.0138,202.02886,202.02111,201.99439,202.05692,201.98571,202.01035,202.00781,201.97739,202.05606,202.01128,201.97398,202.01972,201.98982,201.95243,202.02201,201.99641,202.01152,
202.07054,201.99877,202.01415,201.9958,202.04863,201.98688,202.03229,202.0414,201.99057,202.02152,201.99403,201.99652,202.01898,202.00287,202.0118,202.00881,202.00548,201.99031,201.95637,202.0131,201.96862,201.97872,202.05497,
202.00785,202.02745,201.96855,202.03407,202.00091,202.02271,202.1014,202.03306,201.95066,202.03734,202.0017,201.9868,202.04882,201.9178,202.04425,201.92464,202.01974,201.99692,201.93698,202.01053,201.95049,202.01722,201.99368,
202.00492,202.03003,201.96897,201.98305,202.01795,202.01894,202.21398,201.89707,201.95008,202.06039,201.98159,201.96944,202.08753,201.91455,202.00844,201.95542,202.00721,202.00728,201.92664,201.97081,201.97345,201.99073,201.98029,
201.99091,202.00513,202.00279,201.9608,202.00271,202.01543,202.14047,202.06779,201.85404,201.96018,202.11292,201.89703,202.02367,201.99509,202.03172,201.94108,202.00442,201.99067,201.9622,201.9378,201.96659,201.96935,201.97619,
201.97327,201.9894,202.01128,201.96523,201.99922,202.01404,202.09676,202.02521,201.92528,202.01451,201.93673,202.09968,201.96299,201.94422,202.03955,201.9562,201.97072,202.00648,201.914,201.96828,201.97118,201.93364,201.97462,
201.97984,201.96822,202.00346,201.92261,202.03839,201.99664,202.20199,201.87667,201.94489,202.02721,202.01439,201.9902,202.04239,201.90961,202.01253,201.9572,201.96791,201.9998,201.92818,201.92493,201.98471,201.92784,201.96829,
201.98621,201.96766,202.00297,201.93021,202.01197,202.01835,202.09461,202.04018,201.80324,202.15944,201.98988,201.96832,201.90767,202.02003,201.94488,201.98279,201.98474,202.00802,201.85584,201.97939,201.9145,201.91671,202.04911,
201.97541,201.9764,201.98755,201.9378,202.01256,201.99289,201.97502,202.10818,201.8452,202.10106,201.98134,201.98857,202.05568,201.8786,202.02131,201.91934,201.98397,201.98526,201.92477,201.9279,201.94075,201.9265,201.95492,
201.96977,201.96037,201.98648,201.9444,201.97654,201.99974,201.99373,201.97955,201.9534,201.99007,201.99275,201.99465,202.01444,201.96768,201.98412,201.97934,201.96032,201.98208,201.91787,201.92654,201.89142,201.92696,201.9866,
201.95221,201.96145,201.99072,201.92456,201.99074,201.98307,201.99553,201.9803,201.95839,201.96617,201.97903,201.99223,202.01369,201.96268,201.98985,201.96688,201.97564,201.95299,201.88148,201.95424,201.90334,201.96935,201.91941,
201.94848,201.99311,201.94436,201.96536,201.95417,201.99847,201.99159,201.96544,201.93539,201.99827,201.97237,201.9567,202.0272,201.94093,201.99646,201.9403,201.96377,201.97619,201.86802,201.96607,201.90259,201.89334,202.00841,
201.99586,201.96862,201.92167,201.95187,201.96965,201.95087,202.0122,201.96773,201.93292,201.98332,201.98155,201.9655,202.00606,201.9367,201.96153,201.97146,201.93763,201.94469,201.89133,201.95606,201.89088,201.94996,201.96186,
201.97418,201.96256,201.94674,201.91977,202.009,201.91148,201.97331,201.98742,201.92672,201.98785,201.98098,201.94361,201.98711,201.91143,201.98425,201.95394,201.95653,201.93373,201.8894,201.95257,201.90048,201.907,201.99684,
201.97132,201.93529,201.98392,201.89002,202.01815,201.91585,201.95096,201.98203,201.94891,201.96834,201.92841,201.96468,201.98071,201.93808,201.95217,201.94492,201.93539,201.92611,201.90892,201.9183,201.93497,201.88653,201.93596,
201.97605,201.96004,201.9804,201.87779,201.97338,201.97106,201.92711,201.99151,201.91862,201.96893,201.95284,201.92175,201.99015,201.95104,201.94161,201.9147,201.9044,202.00659,201.84876,201.91374,201.92924,201.90687,201.88026,
202.00832,201.95552,201.96734,201.89088,201.96783,201.97076,201.88931,201.97715,201.94425,201.97426,201.92718,201.95758,202.06559,201.82573,201.93682,201.91562,201.89417,201.97071,201.85971,201.94343,201.96929,201.80838,201.88386,
201.98446,201.94131,201.98031,201.90667,201.9449,201.97617,201.9273,201.93392,201.91081,201.97253,201.9431,201.9138,202.08649,201.79589,201.93044,201.92207,201.92626,201.99358,201.7817,201.94857,201.85405,202.20526,201.55535,
201.97017,201.96523,201.9141,201.9029,202.00361,201.89115,201.95585,201.9442,201.88814,201.96431,201.91678,201.92487,201.96634,201.89943,201.94245,201.89342,201.91319,201.96726,201.85422,201.8692,201.89468,201.5879,202.05194,
201.8673,201.91615,201.93947,201.88487,201.99498,201.92973,201.92565,201.96209,201.87634,201.96629,201.92935,201.90914,201.94012,201.90046,201.96231,201.86883,201.95548,201.9137,202.04279,201.59004,201.72803,201.91962,201.79444,
201.55535,,,,,,,,,,,,,,,,,,,,,,,
202.21398,,,,,,,,,,,,,,,,,,,,,,,
0.65863,,,,,,,,,,,,,,,,,,,,,,,
