0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
200.94412,200.99331,201.06312,201.00322,200.9386,200.95155,200.9972,200.96488,200.95271,200.94443,200.90858,200.91288,200.9164,200.93046,200.89236,200.89103,200.85854,200.83361,200.85912,200.79817,200.79168,200.78786,200.74068,200.6889
200.98731,201.03203,200.97155,201.00583,200.98766,200.96537,200.89593,200.92195,200.92622,200.93585,200.92363,200.92324,200.92029,200.89228,200.87059,200.8366,200.84151,200.89166,200.85774,200.78129,200.81966,200.8081,200.73512,200.67169
201.0104,201.03777,201.00948,200.92365,200.94511,200.98408,200.97061,200.96797,200.93087,200.91062,200.91976,200.8717,200.87055,200.88221,200.86048,200.91773,200.91056,200.87035,200.79329,200.84986,200.84943,200.75599,200.73338,200.73337
201.04185,200.98443,200.98298,201.03139,200.99,200.94662,200.94693,200.96784,200.98743,201.00803,200.99307,200.99805,200.9776,200.95362,200.9542,200.85856,200.82323,200.81613,200.91033,200.90418,200.80777,200.81435,200.85001,200.76041
201.07093,201.04899,201.02217,200.96798,201.01687,201.03269,201.05826,201.00196,200.95133,200.91961,200.90412,200.88602,200.86293,200.86138,200.90156,200.93975,200.98748,200.93839,200.84369,200.80575,200.91104,200.89071,200.8026,200.79629
201.01398,201.00368,201.03606,201.06533,201.01341,201.00171,200.94318,200.94996,200.99121,200.99614,200.97583,200.98675,200.97728,200.94779,200.89146,200.8918,200.83132,200.90085,200.92537,200.91823,200.80858,200.78319,200.86665,200.87188
201.06416,201.05628,201.07989,201.0219,201.01463,200.99744,201.02858,201.0161,201.01512,200.99399,201.01368,200.98887,200.98034,201.0082,201.00771,200.96169,200.95528,200.87676,200.85329,200.89846,200.92907,200.90743,200.80254,200.80574
201.09597,201.07536,201.01262,201.04405,201.06448,201.07881,201.02903,201.06142,201.12941,201.01328,200.99796,200.98597,201.01506,200.97371,200.97685,200.99342,200.95393,200.95685,200.93143,200.8688,200.84262,200.90994,200.94078,200.89683
201.0587,201.05007,201.03857,201.05163,201.05485,201.047,201.05032,201.01893,200.91963,201.01897,201.00085,200.99851,200.96292,200.97109,200.96649,200.9394,200.98616,200.95613,200.94575,200.9492,200.90078,201.30751,200.826,200.87217
201.06888,201.08074,201.09584,201.08478,201.03757,201.04069,201.03761,201.03242,201.02489,200.99895,201.00715,200.97206,200.98261,200.97591,200.97458,200.97189,200.92937,200.95471,200.96599,200.91769,200.96624,200.46735,200.89079,200.85062
