0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
201.28463,201.12753,201.09539,201.06798,201.0545,201.03777,201.01365,201.00199,201.01895,200.96261,200.99371,200.93038,200.94228,200.89657,200.92384,200.8489,200.84499,200.85837,200.76465,200.74284,200.69464,200.66934,200.58955,
201.17786,201.10775,201.06833,201.08276,201.06617,201.11368,200.97396,201.01956,201.02517,200.99369,200.9722,200.94944,200.94024,200.90916,200.88361,200.91439,200.83757,200.88106,200.77809,200.79161,200.74801,200.63755,200.63921,
201.26439,201.0722,201.12856,201.04389,201.08687,201.04923,201.00417,201.05365,201.02772,201.00949,200.93698,200.95975,200.96771,200.96893,200.84347,200.91704,200.89995,200.81453,200.82634,200.78656,200.73668,200.70029,200.70379,
201.16792,201.10087,201.11536,201.05505,201.08944,201.04336,201.01431,201.06001,201.06458,200.99379,200.95579,200.9539,200.97654,200.94342,200.91725,200.85063,200.9283,200.80566,200.86832,200.77078,200.78303,200.76645,200.67797,
201.14501,201.11877,201.04991,201.08957,201.10036,201.04071,201.05315,201.06882,201.0522,200.99525,200.9666,200.94856,200.95302,200.97913,200.92114,200.88356,200.89699,200.88797,200.78496,200.82609,200.7992,200.69912,200.75396,
201.1512,201.09457,201.08733,201.10119,201.08745,201.04332,201.08044,201.04971,201.05056,201.00825,200.96389,200.95774,200.96052,200.96029,200.96304,200.9072,200.83941,200.93078,200.77732,200.86626,200.74691,200.75724,200.77087,
201.16242,201.10629,201.11866,201.08471,201.08437,201.09645,201.04411,201.07138,201.04246,200.99073,200.99517,200.96572,200.9789,200.96649,200.94026,200.95043,200.84925,200.87737,200.85999,200.79633,200.7735,200.8264,200.74192,
201.17266,201.12066,201.12623,201.08143,201.1035,201.10795,201.0644,201.06698,201.03823,200.97742,201.00099,200.99004,200.97085,200.95971,200.93855,200.96726,200.88891,200.83362,200.88076,200.77048,200.8865,200.77752,200.73102,
201.11789,201.12396,201.13094,201.10918,201.12689,201.10171,201.03502,200.83797,201.26176,201.02821,200.99388,200.9975,200.97929,200.95041,200.94125,200.95129,200.94758,200.82082,200.8997,200.80525,200.84894,200.75964,200.73556,
201.16475,201.17895,201.11764,201.10036,201.11816,201.09511,201.07393,201.02949,201.05225,201.01927,201.02705,201.00513,200.97523,200.95888,200.9575,200.94236,200.94695,200.83045,200.84653,200.8841,201.28416,200.29086,200.80673,
