0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
200.60592,200.53699,200.6404,200.63445,200.72963,200.7781,200.84088,200.85905,200.98813,201.00698,201.06089,201.12378,201.15068,201.22679,201.28867,201.30955,201.38669,201.40065,201.47974,201.55356,201.6097,201.60952,201.69289,201.90558,
200.49558,200.66211,200.5782,200.68113,200.73287,200.74866,200.89101,200.86066,200.96984,201.00559,201.09068,201.12501,201.07118,201.33013,201.25468,201.30677,201.39775,201.38869,201.47291,201.49327,201.63188,201.61949,201.72137,201.86878,
200.57757,200.54881,200.64342,200.64445,200.72028,200.78498,200.83157,200.90942,200.9622,201.0032,201.10346,201.13339,201.13279,201.24408,201.28307,201.27403,201.41267,201.43289,201.453,201.48339,201.60206,201.63809,201.67117,201.89072,
200.5342,200.58503,200.61895,200.71221,200.69362,200.81326,200.81587,200.9277,200.94181,201.00235,201.12176,201.10274,201.14705,201.24977,201.26795,201.34189,201.38375,201.42171,201.43807,201.52621,201.53108,201.59658,201.72587,201.84125,
200.56284,200.58935,200.5908,200.6773,200.74915,200.76009,200.85844,200.89672,200.92881,201.04602,201.06277,201.14723,201.15362,201.24017,201.28578,201.33937,201.37936,201.41178,201.47345,201.47693,201.56855,201.55512,201.71347,201.85303,
200.5301,200.57923,200.60355,200.6793,200.76623,200.73105,200.86533,200.89024,200.95738,201.04889,201.06267,201.12565,201.16365,201.22952,201.27979,201.35116,201.39684,201.42166,201.45786,201.5009,201.54645,201.57236,201.65521,201.80121,
200.48915,200.52407,200.63674,200.67655,200.72145,200.81826,200.85623,200.87836,200.9856,201.00753,201.08726,201.08918,201.17456,201.25366,201.29275,201.34237,201.39331,201.39206,201.47211,201.5097,201.57788,201.59393,201.62463,201.77155,
200.53907,200.53876,200.58336,200.71106,200.71405,200.80679,200.81662,200.90065,200.99587,201.01676,201.05914,201.14679,201.12979,201.26089,201.27435,201.36226,201.4024,201.40033,201.47221,201.53944,201.59076,201.53272,201.69215,201.73688,
200.49484,200.59216,200.61725,200.65186,200.7642,200.7592,200.81895,200.94775,200.94392,201.0293,201.05679,201.13076,201.15758,201.25862,201.30203,201.27974,201.40451,201.43884,201.4704,201.54316,201.5426,201.61694,201.65814,201.74635,
200.53021,200.5611,200.63843,200.63214,200.76126,200.76894,200.86533,200.91831,200.94166,201.01465,201.05378,201.11914,201.17328,201.22429,201.31214,201.31174,201.40729,201.44123,201.45453,201.5492,201.55341,201.57857,201.66669,201.70461,
200.48635,200.44313,200.75297,200.68277,200.74861,200.7751,200.82936,200.91655,200.93653,201.00059,201.0757,201.10771,201.20567,201.22939,201.29064,201.32558,201.41838,201.39845,201.48219,201.51832,201.5626,201.59866,201.67495,201.72493,
200.49802,200.5638,200.61646,200.68646,200.73367,200.7637,200.85552,200.87249,200.96297,200.99455,201.04516,201.14025,201.17425,201.27144,201.26449,201.338,201.41828,201.43462,201.46925,201.52377,201.5642,201.58858,201.6522,201.74238,
200.52138,200.56115,200.60568,200.70458,200.7089,200.76281,200.89207,200.87574,200.91804,200.99846,201.08755,201.10659,201.18424,201.22821,201.31037,201.3481,201.36837,201.43803,201.48994,201.54613,201.51929,201.60454,201.6663,201.73549,
200.45653,200.5459,200.60736,200.70192,200.70636,200.80144,200.84068,200.88828,200.95672,200.9668,201.08775,201.11088,201.19204,201.2373,201.27978,201.34293,201.3773,201.46009,201.49028,201.50471,201.55524,201.60058,201.6408,201.70964,
200.5325,200.55027,200.58273,200.68904,200.72021,200.81497,200.82106,200.91275,200.92761,201.00292,201.04328,201.11487,201.19238,201.23569,201.30097,201.30618,201.39843,201.46925,201.45931,201.5068,201.54473,201.59456,201.71644,201.67793,
200.55384,200.53666,200.62074,200.68138,200.72246,200.79548,200.84032,200.89667,200.94067,200.99749,201.03595,201.13387,201.17986,201.25104,201.23928,201.3368,201.40476,201.43248,201.46229,201.53226,201.56437,201.57521,201.64979,201.74622,
200.53002,200.54748,200.59623,200.67877,200.72963,200.82463,200.80286,200.89704,200.93948,201.00313,201.06312,201.09461,201.18614,201.22331,201.26624,201.36564,201.36112,201.43073,201.44427,201.54522,201.54555,201.59205,201.62017,201.76761,
200.50748,200.52534,200.63075,200.66381,200.71723,200.79663,200.85293,200.87343,200.97551,200.98191,201.04875,201.10572,201.16998,201.24317,201.26122,201.32465,201.40814,201.41092,201.44619,201.51541,201.54042,201.66299,201.5859,201.71862,
200.52726,200.533,200.64004,200.64983,200.73872,200.7766,200.83513,200.90982,200.97416,201.00065,201.02841,201.09894,201.18831,201.21713,201.24841,201.32919,201.37389,201.43408,201.45111,201.52235,201.54298,201.62478,201.58365,201.75137,
200.58402,200.51576,200.6348,200.64669,200.74296,200.79108,200.80883,200.90618,200.94397,201.02786,201.05035,201.10349,201.14796,201.24897,201.24768,201.27998,201.39822,201.43611,201.45573,201.4858,201.55688,201.59255,201.62928,201.84087,
200.54817,200.56527,200.61057,200.65403,200.7433,200.75037,200.83718,200.89829,200.96639,201.02613,201.04203,201.09568,201.16501,201.22569,201.25455,201.32184,201.31848,201.44168,201.4522,201.49997,201.5327,201.54795,201.73049,201.92173,
200.52591,200.63003,200.56718,200.66199,200.68406,200.79876,200.80828,200.88662,200.9818,200.98053,201.08336,201.09614,201.16298,201.2193,201.25508,201.27438,201.38778,201.41254,201.46556,201.43999,201.57117,201.60633,201.7401,201.85481,
200.57025,200.63249,200.53969,200.69988,200.73831,200.75761,200.81553,200.84367,200.91936,201.04855,201.01856,201.12854,201.12979,201.26411,201.26861,201.25973,201.39826,201.38563,201.41725,201.48242,201.52713,201.64135,201.79605,201.8551,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.4786,,,,,,,,,,,,,,,,,,,,,
