0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23
200.91698, 200.90925, 200.87446, 200.86471, 200.91777, 200.89108, 200.83276, 200.85577, 200.90319, 200.92565, 200.88369, 200.87134, 200.86829, 200.87995, 200.89370, 200.92945, 200.89247, 200.82295, 200.83161, 200.88336, 200.89061, 200.89688, 200.94179, 200.94147
200.85200, 200.87351, 200.91175, 200.83792, 200.82049, 200.90422, 200.90114, 200.81518, 200.78394, 200.81791, 200.85059, 200.86886, 200.88514, 200.86106, 200.83575, 200.78919, 200.80708, 200.84501, 200.90393, 200.90552, 200.85245, 200.80638, 200.90333, 200.75255
200.92042, 200.85272, 200.85409, 200.93960, 200.87423, 200.79793, 200.83122, 200.91799, 200.91921, 200.89277, 200.84667, 200.83262, 200.81896, 200.84663, 200.84496, 200.89242, 200.90225, 200.89202, 200.82366, 200.79849, 200.88147, 200.92149, 200.86698, 200.94004
200.89038, 200.92470, 200.87647, 200.81954, 200.86876, 200.92979, 200.92001, 200.82845, 200.80612, 200.79855, 200.83383, 200.83238, 200.85146, 200.82242, 200.84901, 200.81198, 200.82047, 200.87652, 200.90928, 200.93135, 200.85721, 200.83885, 200.88788, 200.88198
200.88383, 200.84876, 200.89977, 200.93123, 200.91616, 200.86530, 200.81180, 200.86278, 200.90389, 200.89100, 200.89827, 200.91484, 200.91321, 200.91991, 200.91233, 200.90803, 200.88455, 200.83166, 200.84169, 200.88790, 200.91995, 200.94356, 200.88045, 200.88231
200.90658, 200.94668, 200.92950, 200.89596, 200.85881, 200.88708, 200.91394, 200.91394, 200.88159, 200.93708, 200.92247, 200.90616, 200.86848, 200.90021, 200.90884, 200.92681, 200.91927, 200.94883, 200.89847, 200.86791, 200.84995, 200.90761, 200.94048, 200.96407
200.92830, 200.88697, 200.85034, 200.87451, 200.90977, 200.93102, 200.93827, 200.94544, 200.93756, 200.88151, 200.90834, 200.89323, 200.93183, 200.90240, 200.91876, 200.91534, 200.93107, 200.91470, 200.95050, 200.93972, 200.93820, 200.88214, 200.87289, 200.87762
200.87815, 200.91288, 200.92262, 200.93943, 200.95866, 200.91532, 200.92666, 200.94590, 200.93217, 200.96457, 200.93892, 200.94466, 200.93066, 200.93278, 200.91406, 200.93989, 200.94182, 200.94879, 200.96835, 200.97005, 200.96633, 200.98284, 200.96283, 200.93579
200.94918, 200.93583, 200.93443, 200.92904, 200.93031, 200.96187, 200.94855, 200.92702, 200.94367, 200.92399, 200.95217, 200.96323, 200.96833, 200.95603, 200.95195, 200.97070, 200.96803, 200.94164, 200.96506, 200.96805, 200.97647, 200.95636, 200.99572, 200.99226
200.91938, 200.91278, 200.92975, 200.93917, 200.91159, 200.90534, 200.92501, 200.93890, 200.95435, 200.95669, 200.95477, 200.95865, 200.96735, 200.97974, 200.99072, 200.97988, 200.98159, 200.98887, 200.95776, 200.95963, 200.94220, 200.95717, 200.94667, 200.96991
200.90623, 200.90408, 200.90235, 200.89852, 200.91644, 200.91235, 200.89643, 200.93031, 200.94657, 200.96961, 200.96049, 200.98584, 200.98365, 201.00602, 200.98365, 200.97751, 200.96672, 200.97674, 200.95796, 200.93970, 200.96274, 200.93887, 200.94616, 200.93776
200.99096, 200.96284, 200.96933, 200.93786, 200.96731, 200.95408, 200.98280, 200.96222, 200.95719, 200.97396, 201.00478, 200.99331, 200.99856, 200.98966, 200.99459, 200.97860, 200.97300, 200.97808, 200.97939, 200.99857, 201.01504, 201.00055, 201.01076, 201.00256
200.89305, 200.97980, 200.97627, 201.00847, 200.95865, 200.97198, 200.97915, 200.95488, 200.97925, 200.97320, 200.97787, 200.97510, 200.99431, 200.97963, 200.99497, 200.99881, 201.01806, 201.00598, 201.02561, 201.04551, 201.01125, 201.04851, 201.03881, 201.04898
200.94666, 200.87306, 200.90017, 200.92647, 200.99024, 200.99938, 200.98225, 200.99517, 200.98437, 200.98312, 200.97248, 200.98683, 200.97000, 200.99274, 200.98626, 200.99157, 200.98159, 201.01387, 201.02829, 201.03518, 201.02535, 200.99846, 200.95604, 200.94005
200.94569, 201.00188, 200.95844, 200.91314, 200.93071, 200.97620, 201.01088, 201.01760, 200.98723, 201.00481, 201.00814, 200.99975, 201.00670, 200.99707, 201.02389, 201.01268, 201.05303, 201.04871, 201.03593, 200.99485, 200.97530, 200.98091, 201.02228, 201.01972
200.95506, 200.91771, 201.01071, 201.02947, 200.96604, 200.91510, 200.93503, 200.98616, 201.01584, 201.00492, 201.01822, 201.02339, 201.02179, 201.03041, 201.04358, 201.06267, 201.03198, 200.99500, 200.96668, 200.98152, 201.02608, 201.04603, 201.05539, 201.01331
200.99118, 201.01455, 200.93443, 200.93487, 201.00869, 201.01762, 200.97695, 200.92071, 200.94811, 200.98224, 200.98983, 201.00847, 201.03232, 201.01220, 200.99214, 200.98840, 200.96173, 200.97126, 201.02576, 201.05676, 201.01990, 200.96553, 200.96808, 201.02083
200.94442, 200.93269, 200.99806, 201.01339, 200.92471, 200.95429, 201.00233, 201.01513, 201.00350, 200.96740, 200.95875, 200.93547, 200.93414, 200.97632, 200.99496, 200.99250, 201.03069, 201.06337, 201.01726, 200.94985, 200.99709, 201.07228, 201.04419, 200.97088
200.93987, 201.01784, 200.94244, 200.93770, 201.01907, 201.02685, 200.96002, 200.95773, 200.95637, 201.03220, 201.05134, 201.05107, 201.06840, 201.07550, 201.04848, 201.03166, 200.99045, 200.97561, 201.00534, 201.07857, 201.05119, 200.97082, 200.97546, 201.07375
201.02619, 200.95730, 200.97527, 201.02049, 201.02154, 200.94073, 200.97707, 201.03871, 201.05344, 201.00175, 200.95129, 200.98665, 200.95598, 200.94658, 200.98836, 201.01585, 201.07758, 201.05227, 201.00815, 200.96417, 201.02275, 201.07213, 201.02582, 201.01071
200.95746, 200.96563, 200.98649, 201.00362, 200.93118, 201.00473, 201.04543, 201.00055, 200.99559, 200.96062, 200.99710, 200.99595, 201.02006, 200.99053, 200.97780, 200.96838, 200.97584, 201.01788, 201.06593, 201.02062, 200.96404, 200.99928, 201.06325, 200.96973
200.99344, 200.96399, 201.00832, 200.95347, 200.97191, 201.00490, 200.98696, 200.99911, 200.97312, 201.00255, 201.03547, 201.04192, 201.03658, 201.05498, 201.02292, 201.01638, 200.98029, 201.00217, 201.00418, 201.07528, 201.02085, 200.99123, 200.97495, 201.03772
200.94786, 200.98511, 200.98313, 200.99484, 201.01596, 201.00929, 201.01056, 200.97141, 200.99307, 201.01683, 201.02211, 201.00691, 201.02066, 201.00790, 201.03257, 201.01802, 201.01885, 200.98597, 200.99237, 200.99571, 201.03017, 201.00276, 200.98927, 200.98787
