0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
200.71923,200.6722,200.68525,200.62207,200.60661,200.59484,200.57147,200.5619,200.56431,200.5427,200.5893,200.57839,200.55948,200.59577,200.59538,200.61947,200.63409,200.67103,200.68009,200.7381,200.78238,200.75191,200.67678,200.75278
200.68989,200.68354,200.6642,200.6179,200.54969,200.52584,200.55966,200.55486,200.56439,200.5763,200.5846,200.51009,200.54127,200.53071,200.58105,200.54556,200.57428,200.61067,200.68119,200.70647,200.659,200.75979,200.77338,200.77938
200.63613,200.65236,200.599,200.56188,200.55987,200.5549,200.5282,200.54714,200.50423,200.54677,200.50753,200.57303,200.59267,200.60344,200.59546,200.66121,200.62129,200.65986,200.62102,200.68683,200.7446,200.71424,200.75303,200.81071
200.59948,200.5607,200.5424,200.54797,200.58762,200.52423,200.54744,200.52978,200.54584,200.51414,200.58841,200.59335,200.58291,200.56643,200.58386,200.59912,200.6426,200.64507,200.67949,200.64441,200.69786,200.76045,200.79484,200.76239
200.57403,200.55875,200.55046,200.58052,200.52517,200.56881,200.55713,200.57228,200.58543,200.60455,200.57395,200.59184,200.57055,200.60043,200.65196,200.61886,200.65431,200.64981,200.67503,200.70995,200.6965,200.71284,200.72745,200.77059
200.60417,200.56239,200.5411,200.52837,200.55801,200.5577,200.56399,200.59847,200.5991,200.59602,200.60722,200.60327,200.6449,200.64775,200.64847,200.70517,200.65179,200.67607,200.65188,200.66466,200.70157,200.71996,200.73779,200.7482
200.52404,200.55183,200.55824,200.5983,200.58628,200.60211,200.62909,200.57307,200.59314,200.61113,200.61083,200.63792,200.64435,200.6973,200.66676,200.64041,200.68555,200.7184,200.73673,200.7017,200.70941,200.73785,200.75449,200.7812
200.57882,200.56439,200.62315,200.56911,200.59892,200.60505,200.63097,200.64891,200.67044,200.63933,200.69848,200.70294,200.69529,200.66979,200.68882,200.74316,200.74976,200.76209,200.7538,200.78893,200.74304,200.73857,200.77389,200.80338
200.57343,200.58592,200.56797,200.58001,200.62233,200.60116,200.61776,200.64689,200.63655,200.75043,200.71757,200.68938,200.72084,200.76758,200.76077,200.734,200.74197,200.71852,200.75414,200.7599,200.79946,200.80767,200.78979,200.79134
200.61248,200.64787,200.6374,200.66108,200.65288,200.67264,200.67923,200.70461,200.68557,200.6904,200.69915,200.72337,200.72315,200.73772,200.77048,200.76306,200.79051,200.76663,200.78076,200.792,200.81038,200.80182,200.85303,200.83488
200.65473,200.5841,200.62313,200.65468,200.65808,200.67599,200.67795,200.69045,200.74909,200.72902,200.78398,200.76669,200.76392,200.75846,200.79147,200.80565,200.71533,200.80629,200.80581,200.8182,200.80866,200.833,200.81472,200.831
200.54782,200.63173,200.62876,200.64296,200.66375,200.72255,200.70145,200.77484,200.76976,200.7642,200.78021,200.78299,200.79599,200.80443,200.78955,200.81299,200.8617,200.85263,200.86319,200.83291,200.83192,200.81414,200.81261,200.86608
200.61794,200.67435,200.67301,200.67561,200.68839,200.69202,200.75164,200.71168,200.77521,200.8053,200.76599,200.84527,200.86568,200.82294,200.81817,200.8126,200.87218,200.78574,200.8225,200.83541,200.85403,200.84813,200.85032,200.8174
200.71374,200.64987,200.68336,200.71427,200.74049,200.7275,200.73989,200.77522,200.75542,200.76121,200.83852,200.8185,200.83575,200.82225,200.86105,200.82474,200.81922,200.86786,200.84485,200.8513,200.87095,200.89336,200.87326,200.90762
200.67607,200.7091,200.70462,200.68355,200.71519,200.77566,200.72772,200.77492,200.79539,200.79398,200.77711,200.7874,200.79501,200.85661,200.84273,200.87299,200.86869,200.8621,200.86034,200.89167,200.85469,200.88968,200.90154,200.88287
200.68824,200.72287,200.72201,200.73477,200.72832,200.71092,200.78205,200.77522,200.7687,200.78758,200.80145,200.81722,200.82421,200.8231,200.83312,200.83055,200.85153,200.84884,200.87047,200.85686,200.90943,200.8694,200.88917,200.84953
200.70835,200.69469,200.7231,200.76422,200.79687,200.77867,200.79259,200.78337,200.82542,200.81005,200.82864,200.8713,200.82518,200.84689,200.82371,200.88351,200.89445,200.92055,200.89606,200.89027,200.85132,200.87573,200.85503,200.91482
200.75517,200.71733,200.76352,200.72644,200.71971,200.79262,200.76354,200.77568,200.76296,200.81968,200.79829,200.80136,200.84385,200.83383,200.90418,200.85168,200.84545,200.86158,200.86474,200.85117,200.86746,200.88908,200.89806,200.93021
200.67207,200.75829,200.7355,200.76215,200.75842,200.76778,200.80567,200.81584,200.80052,200.83591,200.89518,200.86291,200.87509,200.83162,200.86244,200.86785,200.85536,200.85145,200.87991,200.87873,200.89604,200.8817,200.86553,200.87492
200.77109,200.72911,200.77242,200.76709,200.75999,200.76493,200.75873,200.78244,200.81324,200.78056,200.77812,200.83503,200.82548,200.90185,200.79647,200.81657,200.85756,200.89271,200.87257,200.87191,200.86262,200.87265,200.97085,200.97011
200.7603,200.77567,200.71902,200.75783,200.77946,200.78109,200.84351,200.80895,200.84889,200.82261,200.79159,200.77044,200.83605,200.83775,200.87124,200.89763,200.87042,200.81311,200.85817,200.88696,200.87165,200.92874,200.93643,200.98529
200.86001,200.84927,200.81062,200.80399,200.79605,200.75746,200.72206,200.75515,200.75871,200.78803,200.83305,200.83125,200.82563,200.81244,200.80393,200.8059,200.81676,200.85494,200.8232,200.85854,200.91199,200.93563,200.92493,200.93234
