0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
199.51313,199.56445,199.66331,199.7778,199.88937,199.95996,200.07826,200.17988,200.26275,200.32673,200.4072,200.44892,200.4984,200.54158,200.56536,200.60963,200.61612,200.62509,200.67885,200.66415,200.67526,200.65174,200.65174,
199.53649,199.60728,199.7019,199.81418,199.93175,200.02281,200.12797,200.22747,200.31968,200.39398,200.4628,200.51229,200.55989,200.60595,200.62042,200.64857,200.66132,200.66148,200.69135,200.70141,200.71521,200.6941,200.6941,
199.56981,199.64443,199.75116,199.85754,199.967,200.07923,200.18032,200.28283,200.37309,200.45537,200.52538,200.56575,200.62003,200.66399,200.67398,200.70185,200.71116,200.69526,200.71532,200.7245,200.7368,200.74127,200.74127,
199.59033,199.67346,199.78514,199.89767,200.00759,200.12322,200.23829,200.33369,200.42945,200.51597,200.57888,200.6284,200.68234,200.71795,200.72989,200.7537,200.75149,200.74376,200.74901,200.75785,200.75064,200.77411,200.77411,
199.61573,199.70317,199.81906,199.93628,200.05119,200.16865,200.28465,200.39219,200.48386,200.57295,200.63334,200.68889,200.74155,200.77005,200.78999,200.80222,200.79535,200.7919,200.7876,200.78382,200.76428,200.80087,200.80087,
199.64711,199.73123,199.85132,199.97624,200.09007,200.21394,200.3344,200.44152,200.5339,200.62616,200.68603,200.74358,200.80169,200.83454,200.84412,200.84777,200.84308,200.82935,200.82463,200.81658,200.79496,200.80871,200.80871,
199.66798,199.76016,199.88328,200.01201,200.13543,200.25674,200.38061,200.48586,200.5892,200.67417,200.7366,200.80025,200.85354,200.88773,200.88894,200.89631,200.88837,200.87357,200.86258,200.8471,200.82762,200.81963,200.81963,
199.69435,199.78519,199.91341,200.04901,200.16845,200.2978,200.42195,200.53557,200.63608,200.71985,200.7876,200.85204,200.9031,200.93271,200.93445,200.94218,200.93396,200.91055,200.90175,200.87221,200.85244,200.84229,200.84229,
199.72909,199.81318,199.94568,200.07655,200.20776,200.33279,200.46312,200.5826,200.66799,200.7661,200.83535,200.89541,200.94858,200.97891,200.97308,200.98427,200.9724,200.94781,200.93579,200.90679,200.87873,200.86897,200.86897,
199.75702,199.84687,199.97455,200.10847,200.2428,200.36794,200.50261,200.61939,200.70961,200.80662,200.88181,200.93416,200.98747,201.0132,201.00907,201.02231,201.00118,200.99021,200.97209,200.93782,200.89945,200.88607,200.88607,
199.78017,199.87148,199.99906,200.13924,200.27553,200.40052,200.53434,200.65286,200.74604,200.84315,200.91722,200.97112,201.01894,201.04752,201.0451,201.0424,201.05149,201.01931,201.00093,200.96634,200.92846,200.90859,200.90859,
199.80631,199.89925,200.0257,200.16356,200.30185,200.43044,200.56329,200.68547,200.78421,200.87399,200.94872,201.00206,201.05181,201.06621,201.07951,201.08504,201.0777,201.04397,201.02508,200.99168,200.95285,200.9324,200.9324,
199.83946,199.92548,200.05586,200.18756,200.32539,200.46011,200.5882,200.71101,200.81025,200.89938,200.97474,201.02807,201.07804,201.08926,201.10567,201.10393,201.10318,201.06939,201.0507,201.01397,200.97519,200.94909,200.94909,
199.85317,199.94722,200.07307,200.20779,200.34471,200.48289,200.61171,200.72761,200.82576,200.9247,200.9952,201.0509,201.0973,201.10722,201.12527,201.12297,201.13688,201.09004,201.06704,201.03075,200.99784,200.96425,200.96425,
199.8637,199.9643,200.08827,200.22313,200.36099,200.49563,200.63098,200.74223,200.84433,200.93937,201.00743,201.06936,201.10817,201.12624,201.13995,201.1447,201.14896,201.11545,201.08072,201.04943,201.01647,200.98653,200.98653,
199.87417,199.98088,200.10989,200.23892,200.37671,200.50776,200.6419,200.75799,200.8567,200.94456,201.01342,201.07911,201.11868,201.13424,201.15306,201.16461,201.15934,201.12345,201.09677,201.06882,201.03376,201.00698,201.00698,
199.89512,199.99096,200.12343,200.25472,200.38822,200.52112,200.64741,200.76346,200.86058,200.95176,201.02512,201.07748,201.12064,201.14458,201.1608,201.16828,201.16763,201.13653,201.1101,201.08734,201.04834,201.01871,201.01871,
199.91856,200.01313,200.13568,200.271,200.3987,200.5286,200.65185,200.76243,200.85987,200.95134,201.02446,201.07747,201.11787,201.15357,201.16205,201.17635,201.1622,201.1371,201.12897,201.10211,201.07187,201.04078,201.04078,
199.94045,200.03301,200.15048,200.28284,200.40633,200.53154,200.65031,200.75547,200.85673,200.94927,201.01696,201.07285,201.12177,201.15345,201.16452,201.16827,201.16777,201.14711,201.13343,201.11717,201.08486,201.06816,201.06816,
199.96501,200.05266,200.16585,200.2867,200.41398,200.5297,200.64736,200.75416,200.85024,200.93977,201.00722,201.07083,201.11023,201.14555,201.16345,201.17003,201.17204,201.15142,201.13988,201.12444,201.10391,201.09812,201.09812,
199.97722,200.06725,200.17883,200.29368,200.41666,200.52698,200.64346,200.74895,200.84525,200.92894,200.99901,201.05718,201.10121,201.13477,201.1521,201.16306,201.17285,201.15289,201.14305,201.14126,201.12675,201.12889,201.12889,
199.99438,200.07229,200.18713,200.29691,200.41475,200.52587,200.63982,200.74298,200.83264,200.91803,200.98793,201.04826,201.08467,201.11914,201.14363,201.15763,201.16407,201.15368,201.15439,201.16113,201.14697,201.15619,201.15619,
200.02281,200.09246,200.1935,200.30369,200.41823,200.52207,200.63032,200.73703,200.8187,200.90313,200.97467,201.03197,201.06949,201.10741,201.1279,201.14959,201.16084,201.15809,201.16961,201.17556,201.16895,201.17911,201.17911,
200.04038,200.10815,200.20055,200.30514,200.42051,200.52228,200.62316,200.72367,200.80702,200.88469,200.95576,201.01534,201.05469,201.09976,201.11652,201.14377,201.15561,201.16661,201.17598,201.19282,201.18659,201.18798,201.18798,
200.05795,200.12384,200.20761,200.30661,200.4228,200.5225,200.61601,200.71031,200.79534,200.86626,200.93686,200.99871,201.03989,201.09212,201.10515,201.13795,201.15037,201.17513,201.18236,201.21008,201.20423,201.19686,201.19686,
,,,,,,,,,,,,,,,,,,,,,,,
,,,1.69695,,,,,,,,,,,,,,,,,,,,
